Time (sec),Voltage (V),AccX (m/s^2),AccY (m/s^2),Gyro (deg/sec),Gyro45(deg/sec),Theta (deg)
0.99,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.01,0,0.144755,9.81029,43.5059,44.0725,1.03751
1.02,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.03,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.04,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.05,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.06,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.07,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.08,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.09,0,0.144755,9.81029,43.5059,44.0725,1.03751
1.1,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.11,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.12,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.13,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.14,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.15,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.16,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.17,0,0.144755,9.81029,43.5059,44.0725,1.03751
1.18,0,0.144755,9.81029,43.5059,44.0725,1.03751
1.19,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.2,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.21,0,0.144755,9.81029,43.5059,43.7183,1.03751
1.22,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.23,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.24,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.25,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.26,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.27,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.28,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.29,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.3,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.31,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.32,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.33,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.34,-0,0.0481096,9.81029,43.5059,44.0725,0.777817
1.35,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.36,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.37,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.38,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.39,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.4,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.41,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.42,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.43,-0,0.144755,9.81029,43.5059,43.7183,1.03751
1.44,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.45,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.46,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.47,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.48,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.49,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.5,-0,0.0481096,9.81029,43.5059,44.0725,0.777817
1.51,0,0.144755,9.81029,43.5059,43.7183,1.03751
1.52,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.53,0,0.144755,9.81029,43.5059,43.7183,1.03751
1.54,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.55,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.56,0,0.0481096,9.81029,43.5059,43.7183,0.777817
1.57,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.58,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.59,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.6,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.61,0,0.144755,9.81029,43.5059,44.0725,1.03751
1.62,0,0.144755,9.81029,43.5059,43.7183,1.03751
1.63,0,0.144755,9.81029,43.5059,43.7183,1.03751
1.64,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.65,0,0.144755,9.81029,43.5059,43.7183,1.03751
1.66,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.67,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.68,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.69,0,0.144755,9.81029,43.5059,44.4266,0.777817
1.7,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.71,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.72,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.73,0,0.144755,9.81029,43.5059,44.0725,0.777817
1.74,0,0.144755,9.81029,43.5059,43.7183,0.777817
1.75,0,0.144755,9.81029,43.5059,44.0725,1.03751
1.76,-0,0.144755,9.81029,43.5059,44.0725,1.03751
1.77,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.78,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.79,-0,0.144755,9.81029,43.5059,43.7183,1.03751
1.8,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.81,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.82,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.83,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.84,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.85,-0,0.0481096,9.81029,43.5059,44.0725,0.777817
1.86,-0,0.144755,9.81029,43.5059,44.4266,0.777817
1.87,-0,0.144755,9.81029,43.5059,44.0725,1.03751
1.88,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.89,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.9,-0,0.144755,9.81029,43.5059,43.7183,0.777817
1.91,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.92,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.93,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.94,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.95,-0,0.144755,9.81029,43.5059,44.0725,1.03751
1.96,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.97,-0,0.0481096,9.81029,43.5059,43.7183,0.777817
1.98,-0,0.144755,9.81029,43.5059,44.0725,0.777817
1.99,-0,0.144755,9.81029,43.5059,44.0725,0.777817
2,-0,0.144755,9.81029,43.5059,44.0725,0.777817
2.01,0,0.144755,9.81029,43.5059,43.7183,0.777817
2.02,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.03,0,0.144755,9.81029,43.5059,43.7183,0.777817
2.04,0,0.144755,9.81029,43.5059,44.0725,1.03751
2.05,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.06,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.07,0,0.144755,9.81029,43.5059,43.7183,0.777817
2.08,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.09,0,0.0481096,9.81029,43.5059,44.0725,1.03751
2.1,0,0.144755,9.81029,43.5059,43.7183,0.777817
2.11,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.12,0,0.144755,9.81029,43.5059,44.0725,1.03751
2.13,0,0.144755,9.81029,43.5059,43.7183,0.777817
2.14,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.15,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.16,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.17,0,0.144755,9.81029,43.5059,43.7183,0.777817
2.18,0,0.144755,9.81029,43.5059,44.0725,1.03751
2.19,0,0.144755,9.81029,43.5059,44.0725,0.777817
2.2,0,0.0481096,9.81029,43.5059,44.0725,0.777817
2.21,0,0.144755,9.81029,43.5059,43.7183,0.777817
2.22,0,-0.241826,9.90554,43.5059,43.7183,0.777817
2.23,0,-0.435117,9.81029,41.8945,42.6559,0.777817
2.24,0,-0.435117,9.81029,41.8945,41.9476,0.777817
2.25,0,-0.435117,9.90554,40.2832,41.2394,0.777817
2.26,-0,-0.435117,9.81029,40.2832,40.5311,0.777817
2.27,-0,-0.338471,9.81029,40.2832,39.8228,0.777817
2.28,-0,-0.241826,9.81029,38.6719,39.4687,0.777817
2.29,-0,-0.241826,9.81029,38.6719,38.7604,0.777817
2.3,-0,-0.241826,9.81029,37.0605,38.4063,0.777817
2.31,-0,-0.145181,9.81029,37.0605,38.0521,0.777817
2.32,-0,-0.145181,9.81029,37.0605,38.0521,0.518127
2.33,-0,-0.145181,9.81029,37.0605,37.3439,0.518127
2.34,-0,-0.338471,9.81029,37.0605,36.9897,0.518127
2.35,-0,-0.531762,9.90554,35.4492,36.6356,0.518127
2.36,-0,-0.725052,9.81029,35.4492,35.219,0.258438
2.37,-0,-0.918343,9.90554,33.8379,34.1566,0.258438
2.38,-0,-1.01499,9.90554,32.2266,32.7401,-0.00123596
2.39,-0,-1.01499,9.90554,30.6152,31.3235,-0.00123596
2.4,-0,-1.11163,9.90554,29.0039,29.5528,-0.00123596
2.41,-0,-1.01499,9.90554,27.3926,28.1363,-0.260925
2.42,-0,-0.918343,9.90554,27.3926,27.0739,-0.260925
2.43,-0,-0.918343,9.90554,25.7812,26.0114,-0.520615
2.44,-0,-0.918343,9.90554,24.1699,24.949,-0.780304
2.45,-0,-0.821697,9.90554,24.1699,24.2407,-0.780304
2.46,-0,-0.918343,9.81029,22.5586,23.5325,-1.03999
